Model,K,Fold,Accuracy,Sensitivity,Specificity,ROC AUC,F1 Score,Precision,Recall
Logistic Regression,5,1,0.960996099609961,0.6283236994219653,0.9925005474052989,0.9605318406360787,0.7359512525389302,0.8880718954248366,0.6283236994219653
Logistic Regression,5,2,0.960294044106616,0.6015578190533254,0.9929615888258403,0.9583660788470998,0.7166309778729479,0.8861429832303619,0.6015578190533254
Logistic Regression,5,3,0.9593439015852377,0.6138211382113821,0.9919015047879617,0.9583664844270096,0.7222412025965153,0.8771784232365145,0.6138211382113821
Logistic Regression,5,4,0.9582437365604841,0.592946802151823,0.9915957214581969,0.9545736678682565,0.7037956722241929,0.8656195462478184,0.592946802151823
Logistic Regression,5,5,0.960594089113367,0.6283704572098476,0.9915805587447378,0.9612584854094188,0.7312414733969986,0.8743882544861338,0.6283704572098476
Logistic Regression,10,1,0.9602960296029603,0.6283236994219653,0.9917341799868623,0.9616551606080819,0.7324797843665768,0.8780290791599353,0.6283236994219653
Logistic Regression,10,2,0.9604940741111166,0.6129418813660875,0.9921431689218682,0.9594592341564236,0.7214386459802539,0.8766066838046273,0.6129418813660875
Logistic Regression,10,3,0.9594439165874882,0.6178861788617886,0.9916279069767442,0.9597420840145474,0.7240558012929568,0.8742810188989318,0.6178861788617886
Logistic Regression,10,4,0.9586938040706106,0.5995218170950388,0.991486574983628,0.956047895534624,0.7083333333333334,0.8654012079378774,0.5995218170950388
Logistic Regression,10,5,0.9615942391358704,0.6406799531066822,0.9915258870482752,0.9630166964028138,0.7400135409614083,0.875801282051282,0.6406799531066822
Decision Tree,5,1,0.9568456845684569,0.7433526011560694,0.97706371797679,0.8634785265241599,0.7487627365356623,0.7542521994134898,0.7433526011560694
Decision Tree,5,2,0.9536930539580937,0.7177950868783702,0.9751745962461807,0.8509218314351179,0.7212522576760987,0.7247428917120388,0.7177950868783702
Decision Tree,5,3,0.9515927389108366,0.7206736353077816,0.9733515731874145,0.84944932482352,0.7194202898550724,0.7181712962962963,0.7206736353077816
Decision Tree,5,4,0.9514927239085863,0.7208607292289301,0.9725496616459288,0.8524521194053298,0.7131874630396215,0.7056758338209479,0.7208607292289301
Decision Tree,5,5,0.9551932789918488,0.7479484173505275,0.9745229894483626,0.8651283057548915,0.740139211136891,0.7324913892078071,0.7479484173505275
Decision Tree,10,1,0.9535453545354535,0.7410404624277457,0.9736698051237136,0.859910931145906,0.7340395075866017,0.7271695972773681,0.7410404624277457
Decision Tree,10,2,0.9540931139670951,0.7285799880167765,0.974628982976866,0.8552312282228712,0.7259701492537314,0.7233789411064843,0.7285799880167765
Decision Tree,10,3,0.9553933089963494,0.7334494773519163,0.9763064295485636,0.8565958362925431,0.7390286717378584,0.7446933962264151,0.7334494773519163
Decision Tree,10,4,0.9543431514727209,0.7196652719665272,0.9757694826457105,0.8518167636197905,0.7250828063836194,0.7305825242718447,0.7196652719665272
Decision Tree,10,5,0.9539430914637196,0.7514654161781946,0.9728281668580177,0.864452809064452,0.7357245337159254,0.7206295671725689,0.7514654161781946
Random Forest,5,1,0.9678967896789679,0.7132947976878613,0.9920078826363039,0.956750947042809,0.7935691318327974,0.8942028985507247,0.7132947976878613
Random Forest,5,2,0.9673951092663899,0.6806470940683044,0.993507202095155,0.9487328336139096,0.7770177838577291,0.9051792828685259,0.6806470940683044
Random Forest,5,3,0.9665949892483873,0.6875725900116144,0.9928864569083448,0.952921458997666,0.7799736495388669,0.9010654490106544,0.6875725900116144
Random Forest,5,4,0.9651947792168826,0.6730424387328153,0.991868587644619,0.948945252311028,0.7639077340569878,0.8831372549019608,0.6730424387328153
Random Forest,5,5,0.9683952592888934,0.7092614302461899,0.9925646492810672,0.9580932313299202,0.7929226736566186,0.8989598811292719,0.7092614302461899
Random Forest,10,1,0.967946794679468,0.7109826589595376,0.9922815852857456,0.9560269798035922,0.7932924862947436,0.8971553610503282,0.7109826589595376
Random Forest,10,2,0.9674951242686403,0.6806470940683044,0.9936163247490178,0.9484385162823552,0.7775496235455168,0.9066241021548284,0.6806470940683044
Random Forest,10,3,0.9674451167675151,0.6887340301974448,0.9937072503419973,0.953140210139643,0.784651008931525,0.9116064565718678,0.6887340301974448
Random Forest,10,4,0.9659448917337601,0.6784219964136282,0.9921960270683257,0.9478479322777766,0.7692307692307693,0.8881064162754304,0.6784219964136282
Random Forest,10,5,0.9692453868080212,0.7157092614302462,0.9928926794598436,0.9576822482283456,0.7988223748773308,0.9037749814951888,0.7157092614302462
K-Nearest Neighbors,5,1,0.9528452845284529,0.5335260115606937,0.9925552879351872,0.8833710294130677,0.6618859806382216,0.8715769593956563,0.5335260115606937
K-Nearest Neighbors,5,2,0.9520928139220883,0.5188735769922109,0.991542994325622,0.8778294575721446,0.6438661710037175,0.8481880509304603,0.5188735769922109
K-Nearest Neighbors,5,3,0.955243286492974,0.5528455284552846,0.9931600547195623,0.8902913292373102,0.6802429439085388,0.8839368616527391,0.5528455284552846
K-Nearest Neighbors,5,4,0.952892933940091,0.5313807531380753,0.9913774285090592,0.8758603684518802,0.6536764705882353,0.8490926456542502,0.5313807531380753
K-Nearest Neighbors,5,5,0.9550932639895985,0.55978898007034,0.9919632606199771,0.8943967311581177,0.6801994301994302,0.8666061705989111,0.55978898007034
K-Nearest Neighbors,10,1,0.9519451945194519,0.5190751445086705,0.9929384716444055,0.879225921444492,0.6514327167210736,0.8743914313534566,0.5190751445086705
K-Nearest Neighbors,10,2,0.9520428064209632,0.5092869982025164,0.9923614142295941,0.8754430615122242,0.6393380970289583,0.8585858585858586,0.5092869982025164
K-Nearest Neighbors,10,3,0.9542431364704705,0.537746806039489,0.9934883720930232,0.885941076373828,0.6693169497650886,0.8861244019138756,0.537746806039489
K-Nearest Neighbors,10,4,0.9533930089513427,0.5283921099820681,0.9921960270683257,0.8743707767719079,0.6548148148148148,0.8607594936708861,0.5283921099820681
K-Nearest Neighbors,10,5,0.9543431514727209,0.5504103165298945,0.9920179323164398,0.8890137322098267,0.6728771049802938,0.8654377880184332,0.5504103165298945
Support Vector Machine,5,1,0.9488948894889488,0.4092485549132948,1.0,0.9601250836928911,0.5808039376538146,1.0,0.4092485549132948
Support Vector Machine,5,2,0.949042356353453,0.3894547633313361,1.0,0.9534861909171769,0.5605864596808969,1.0,0.3894547633313361
Support Vector Machine,5,3,0.9486422963444516,0.40360046457607435,1.0,0.9566633777731172,0.575093090608192,1.0,0.40360046457607435
Support Vector Machine,5,4,0.9498924838725809,0.40227136879856545,0.9998908535254312,0.9548755332226081,0.5732538330494037,0.997037037037037,0.40227136879856545
Support Vector Machine,5,5,0.9515927389108366,0.43259085580304807,1.0,0.956905836431129,0.6039279869067103,1.0,0.43259085580304807
Support Vector Machine,10,1,0.9478447844784479,0.39710982658959537,1.0,0.9594852523316935,0.5684733140256516,1.0,0.39710982658959537
Support Vector Machine,10,2,0.9479421913286993,0.3762732174955063,1.0,0.9528214515392113,0.5468001741401829,1.0,0.3762732174955063
Support Vector Machine,10,3,0.947542131319698,0.3908246225319396,1.0,0.9564168696406528,0.5620041753653444,1.0,0.3908246225319396
Support Vector Machine,10,4,0.9483922588388258,0.38374178123132097,0.9999454267627156,0.954948145312384,0.5544041450777202,0.9984447900466563,0.38374178123132097
Support Vector Machine,10,5,0.9497424613692054,0.41090269636576787,1.0,0.957072992098626,0.5824678022434566,1.0,0.41090269636576787
